"(1, 151019789)","(1, 151019787)","(1, 151019785)","(1, 151019784)","(2, 151019789)","(2, 151019787)","(2, 151019785)","(2, 151019784)","(3, 151019789)","(3, 151019787)","(3, 151019785)","(3, 151019784)","(4, 151019789)","(4, 151019787)","(4, 151019785)","(4, 151019784)","(5, 151019789)","(5, 151019787)","(5, 151019785)","(5, 151019784)","(6, 151019789)","(6, 151019787)","(6, 151019785)","(6, 151019784)","(7, 151019789)","(7, 151019787)","(7, 151019785)","(7, 151019784)","(8, 151019789)","(8, 151019787)","(8, 151019785)","(8, 151019784)","(9, 151019789)","(9, 151019787)","(9, 151019785)","(9, 151019784)","(10, 151019789)","(10, 151019787)","(10, 151019785)","(10, 151019784)","(11, 151019789)","(11, 151019787)","(11, 151019785)","(11, 151019784)","(12, 151019789)","(12, 151019787)","(12, 151019785)","(12, 151019784)","(13, 151019789)","(13, 151019787)","(13, 151019785)","(13, 151019784)","(14, 151019789)","(14, 151019787)","(14, 151019785)","(14, 151019784)","(15, 151019789)","(15, 151019787)","(15, 151019785)","(15, 151019784)","(16, 151019789)","(16, 151019787)","(16, 151019785)","(16, 151019784)","(17, 151019789)","(17, 151019787)","(17, 151019785)","(17, 151019784)","(18, 151019789)","(18, 151019787)","(18, 151019785)","(18, 151019784)","(19, 151019789)","(19, 151019787)","(19, 151019785)","(19, 151019784)","(20, 151019789)","(20, 151019787)","(20, 151019785)","(20, 151019784)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.83943967197368,0,0,0,2.53621847602081,0,0,0,2.65573858685367,0,0,0,2.53303515569964,0,0,0,2.61763539846261,0,0,0,2.58374612992973,0,0,0,2.80562598541139,0,0,0,2.67296351554166,0,0,0,2.56314009569867,0,0,0,2.66661880622323,0,0,0,2.74628021730308,0,0,0,2.94290649774148,0,0,0,2.57654248758895,0,0,0,2.63758111261010,0,0,0,2.56543317246000,0,0,0,2.69008642769565,0,0,0,2.92204883571461,0,0,0,2.62963271156347,0,0,0,2.68096816584617,0,0,0,2.75534299875938
0,0,0,2.99724024710754,0,0,0,2.82664645801925,0,0,0,3.20732647977851,0,0,0,3.03496980672703,0,0,0,2.93299817670188,0,0,0,2.83191679368287,0,0,0,2.99744053339069,0,0,0,3.06922404930845,0,0,0,2.86948994591476,0,0,0,2.91741951664462,0,0,0,2.94477066441041,0,0,0,3.05749772581289,0,0,0,2.82770757897836,0,0,0,3.09447742497952,0,0,0,3.05480008639947,0,0,0,2.82868671504652,0,0,0,2.71450743055167,0,0,0,2.97323635294345,0,0,0,2.99533569631728,0,0,0,3.06686439034649
0,3.33470456147308,4.00719541292800,3.38227508827701,0,3.38176397029057,3.70863694542296,3.18611989897346,0,3.24965839653654,3.89016149446441,3.25286285800593,0,3.30641163649361,3.64281561944689,3.25114600398208,0,3.47264666075240,3.49941804730009,3.17573749355112,0,3.33248422487897,3.66407553615462,3.10451569976230,0,3.10594076652851,3.56663218495699,3.37401431653713,0,3.06191386308514,4.00013855516830,3.22030497874264,0,3.21887844124431,3.85721757663953,3.17335794332028,0,3.44039667133973,3.55425710640586,2.89074358198065,0,3.41937939606935,3.82404718499315,3.61903121511662,0,3.10829591090781,3.68464812320708,3.45839533979661,0,3.36945542993502,3.71599516590582,3.28868541136536,0,3.10029507982663,3.61396330902256,2.87961854554074,0,2.97208096208858,3.70031022398998,3.28401555539552,0,3.40987649305588,3.73273811811780,3.23998763754888,0,3.32893286515037,3.74417056237695,3.36706694281248,0,3.47210747356098,3.38681755737302,3.35651343851174,0,2.99566254921679,3.98222956420911,2.89018679153828,0,3.17306025749549,3.77795904541024,3.43571180223627
0,3.36380357992300,3.73253003609744,3.55925204442428,0,3.40190347785871,4.06901521905560,3.42474751205849,0,3.57128421953717,3.69740785159349,3.30472527057749,0,3.73784927552798,4.46797507443985,3.54052450127554,0,3.21752163569107,3.95116473358784,3.44307193678782,0,3.66526197150044,4.02513314287253,3.67962909011837,0,3.65567714143130,4.22934622621818,3.54044387379022,0,3.34378247780739,3.95774929633033,3.70791728312481,0,3.45582091821546,4.21395368370587,3.49557301583789,0,3.33450098616105,4.29107418151229,3.73049394331990,0,3.26365417146367,4.13356604515881,3.47053656288072,0,3.35997285373323,4.25888185572379,2.90309570117982,0,3.56843078900317,4.38079469045003,3.69404683258680,0,3.58789886894955,4.03134432458972,3.74658674904623,0,3.46209652551707,3.97816772660898,3.64639525828761,0,3.38894941300077,4.14433819485111,3.33083771256317,0,3.63702622307887,4.00511366644131,3.55396603629674,0,3.69823177466557,4.11927333574427,3.62174951157382,0,3.43197754420597,4.52173553457336,3.47244564378967,0,3.38234159590452,3.62840967404128,3.50213571273790
0,3.87507365166100,5.00448041006102,3.96453048391428,0,3.89729582809565,4.28036648855885,4.14098761369770,0,3.81221689090329,4.63443320236251,3.79017572316872,0,3.28219706916015,4.63535867020981,4.09196532039140,0,3.56635480587660,4.23828624919526,4.13368710280445,0,3.74762436537375,4.92137673894481,3.93930742327848,0,3.94366713347681,4.28895915818181,3.97542963313832,0,3.57903413409616,4.49391293455084,4.22371505139013,0,3.99907272778440,4.41412507952375,3.79309560771836,0,3.93625099116914,4.55924816616354,3.57873503526455,0,3.70798228586839,4.79853761477302,3.56775766263083,0,3.82569635203106,4.67926263799302,3.93359043929603,0,3.72371637264825,4.46548910907822,3.67621055951982,0,3.84898733149836,4.39648030860395,3.53383711451218,0,3.74579935926419,4.76875121962006,3.82392976032347,0,3.84312743350612,4.17051967333976,3.96983033814774,0,4.03034062384615,4.21458309011560,3.83016583636180,0,3.65244217812947,4.99981736039490,3.60646554002838,0,3.93668036452183,4.68031970693843,4.16780575058084,0,4.08221778707186,4.51036994212514,3.60370029102646
5.68613857195909,4.44647206702373,4.72451948658271,4.30532678317431,5.32370241109095,4.13717892227593,4.55208085757319,4.17187797020810,5.72579286231327,3.92974385198217,4.94351333117076,4.59547913835682,5.77741452364252,3.93249576317048,4.78757094562887,3.98150880293176,5.71432386805585,4.04056446963779,4.43275985911182,4.33863563382639,5.72831405661786,3.90936893444787,4.66358232222800,4.11167746442869,5.76642748319380,3.93526513479345,4.95633857209149,3.81553078224585,5.64852239857838,4.02181653019150,4.91353536560222,4.10085046487033,5.80672302733561,4.24357700133363,4.44063266603325,3.96622244662269,5.83008731157064,3.92500499847197,4.87233010598914,4.13763844849741,5.27756106550804,4.07514583562811,4.78326058946294,3.77689372012656,5.74217073150707,3.82735804672506,4.56750713413780,3.99853570942424,5.71207767597553,4.08383301117705,4.46707272492458,4.01632668607125,5.61106458229962,4.50063482407892,4.80958886507550,4.43908806715826,5.76019304172691,4.25570580239036,4.95042924135024,3.70510718692722,5.38114865281263,4.21854404426144,5.03489386624752,3.97484876657261,5.34647375130849,4.24056114148814,4.41908185808119,4.17104756354831,5.97862992821732,4.25001241878419,4.52719754940916,3.89753171054226,5.52225005315332,3.67983590368240,4.41259407428142,3.90892399587892,5.83541006607641,4.47763305068447,4.91585334322095,3.96999345349523
6.43299855786316,4.27601999128488,5.09738257807285,4.34093965234203,5.93763543710996,4.23915640026208,5.31877986421593,4.85390477183253,6.41178427124871,4.45774200080517,5.61455572162623,4.71131698930646,5.90973340022275,4.62353923822838,5.55709760275716,4.46601461318997,6.27933308432615,4.25831298423146,5.42372683759843,4.46530976406089,6.65342377473597,4.49666388888387,5.19942795831050,4.65393025587148,5.76658850798122,4.30611284276922,4.96167193635554,4.50386083508882,6.40661777388547,4.31852617645257,5.00385963509149,4.34851932384618,6.54851010009513,4.33759369469265,5.09647485531661,4.41265581296289,5.68714118713829,3.99203771346448,5.05349298647751,4.39569631508550,5.95703420872982,4.77051005199461,5.46289920153698,4.31441282218606,6.45762392919373,4.48744748524693,4.58686240729685,4.75931691051066,6.60239799519210,4.44528453128854,5.19121440282692,4.60469069129375,6.86305935260026,4.20208358350355,4.95499820050616,4.29835200098138,6.29117708545897,4.23431506140791,5.50024826867085,4.69457490962234,6.48727579313452,4.23057580818953,5.19540348162311,4.73345151777250,6.65367335530947,4.76011120772041,4.98886248799997,4.72987512885257,6.65485400193267,4.45062651172861,5.56438119027276,4.71044738676630,6.02127764627727,4.61101599140800,5.41872049788133,4.82456680503167,6.41484888980749,4.81608637910965,5.45847980763123,4.55895758352231
6.84078286433844,4.70521130792242,5.89647543246740,4.54452124990056,6.49121149700929,4.51189104040720,5.51916568131952,4.93637717458915,6.18764556328906,4.31254601507588,5.58407913811609,5.12557761467540,6.23090032585556,4.46483777833756,6.01868173770583,4.84127406809831,6.81210530785640,4.82436338236772,5.52545649964473,4.93457831789505,5.86545463083480,4.46739530522463,5.43959748654464,5.07384744792398,6.16027696468481,4.40530639035309,5.50321325056766,4.75416099369064,6.40085863283391,4.79594699737191,5.37634769886761,5.10854719907531,6.07390363233006,4.64321373077419,5.76666759519009,4.93966442913829,6.66602948774417,4.60738242030913,5.44882668899417,4.91228498208539,6.51217472482278,4.34753181576580,5.63498474918862,4.59303611674278,5.80996212797765,4.60842212365865,5.54496233283993,4.74541576671148,6.71642470108956,4.62384798992891,5.72591968328388,5.17687780793664,6.30277529761970,4.99044072940055,5.50788515860459,4.83531864738304,6.16487254126885,4.54767654145483,5.84854883389791,4.92136429271142,6.46585180201894,4.76690913683554,5.17608005263683,4.95662497290192,6.79359634881059,4.61642609878509,5.84683404432355,5.22545770741855,5.99719855702379,4.46105454596726,5.32302510104062,4.63708186336957,5.94923792323604,4.64533381792001,5.51553959722217,5.35996652318253,6.71208708599750,4.89984624539614,5.32823527092284,4.73807425047830
