DEPARTURE_RATE_average_151019789,DEPARTURE_RATE_average_151019787,DEPARTURE_RATE_average_151019785,DEPARTURE_RATE_average_151019784
0,0,0,0
0,0,0,0
0,0,0,2.69755738305124
0,0,0,2.97935345204560
0,3.29407918008895,3.77767889580845,3.22726467981976
0,3.49939985375621,4.07446856412334,3.50410336464729
0,3.83706708486039,4.53385676798909,3.87243276398659
5.67620835467825,4.02922533926541,4.70179381475178,4.04951476569603
6.29470567788677,4.45998728317068,5.20146424139930,4.54367141523023
6.34040314528735,4.56369302385063,5.51165942978847,4.96127763178563
6.99047665227343,5.01625766319095,6.22450831287328,5.35088856722385
8.31147681343051,5.88118067786213,6.99077019222991,6.06996974336599
8.74146571102700,6.22140297141164,7.90857381805839,6.98981126171928
10.3244341539993,7.42788390352799,8.78713066491223,7.85378797734145
12.7002982261808,9.07512650436507,10.9115334179778,9.29410684452683
12.7521646852475,9.12785511418201,11.6469941814997,10.2648701384936
16.7479291160559,11.8667149250720,14.4950095672511,12.6992293284956
17.6885633254087,12.6989463684294,15.1954886469179,13.1457740841953
21.2411518777982,15.0314208116157,18.4757589361271,16.6252774655168
24.4947150985593,17.6676337449557,20.6997302197480,18.6801213651984
27.6046962155445,19.8168360264411,23.7143066813720,20.7522882734295
31.9486322286588,22.9646303561836,25.7463217958246,25.0351034219922
27.7376347209435,27.0516469139900,24.1321742043179,28.0082467171297
25.3441751905348,31.3016148919486,21.7380042159490,32.6345677339097
24.2329904274888,33.3653790309925,18.9888578824176,32.6156527256365
21.3424407537842,29.3596126050045,18.5209015245253,30.8933726428687
17.8075496096859,24.4742217374583,15.0901330302356,25.2882392389041
16.5778769263554,22.7898775237314,13.8965802776960,22.8771546218933
15.7951268785930,21.4699642963003,13.0676447292260,21.5494408690738
13.7574330259604,18.6972165308184,11.3491539747570,18.7394420723068
12.6862665319788,17.2381140215259,10.5300708065966,17.3726167497722
11.5179410778992,15.5349334992544,9.53032684651977,15.8544855705261
10.8135265621682,14.4792617315774,8.84164664333940,14.5917082632258
9.41932848850129,12.7266887461101,7.82727295813882,12.6554861292360
9.05318210155308,12.0933867408251,7.36753701977958,12.0620329373642
8.38694220327852,11.1148919865728,6.78381483424734,11.2156724955443
7.66790835897566,10.3350835639464,6.24281580941994,10.2757034463901
7.13577427683524,9.49323460976899,5.80551502713171,9.51837621144431
6.63144123095454,8.78173614342973,5.37851938904252,8.79637792643393
6.08580170327246,8.08118491395135,4.94642108723913,8.16192428825685
5.66226095596729,7.54491962557815,4.61661475878101,7.57992667803593
4.98982530596779,6.64840048120415,4.06805649349870,6.71143210280211
4.42521592581603,5.94818756195978,3.62721533350743,5.98889756115784
4.20926056465157,5.57784501204219,3.38745689981138,5.61066110980648
3.54595884809934,4.79335725511792,2.90409032572275,4.82066735078392
3.31681704869869,4.61989974466222,2.76212777944681,4.58151062973640
